X,Y,Z
-2.26,5.98,1.3
-2.24,5.98,1.29
-2.26,5.98,1.3
-2.24,5.99,1.34
-2.31,6.01,1.37
-2.32,5.97,1.37
-2.31,5.94,1.39
-2.31,5.92,1.45
-2.32,5.93,1.41
-2.31,5.9,1.45
-2.31,5.87,1.4
-2.34,5.87,1.38
-2.39,5.87,1.45
-2.41,5.88,1.45
-2.41,5.85,1.51
-2.42,5.85,1.51
-2.45,5.88,1.46
-2.47,5.89,1.39
-2.47,5.88,1.47
-2.46,5.87,1.46
-2.44,5.83,1.52
-2.44,5.83,1.52
-2.42,5.81,1.56
-2.4,5.77,1.55
-2.38,5.79,1.48
-2.38,5.79,1.42
-2.38,5.8,1.41
-2.4,5.82,1.42
-2.39,5.83,1.39
-2.4,5.82,1.35
-2.39,5.81,1.43
-2.41,5.83,1.4
-2.39,5.82,1.49
-2.4,5.84,1.52
-2.38,5.81,1.44
-2.36,5.79,1.47
-2.36,5.8,1.47
-2.32,5.79,1.38
-2.34,5.86,1.4
-2.29,5.86,1.41
-2.25,5.88,1.42
-2.22,5.88,1.48
-2.19,5.9,1.41
-2.18,5.88,1.39
-2.07,5.81,1.38
-2.06,5.83,1.4
-2.04,5.86,1.48
-2.02,5.88,1.44
-1.99,5.89,1.38
-1.96,5.86,1.44
-1.94,5.84,1.4
-1.94,5.84,1.38
-1.86,5.86,1.37
-1.83,5.82,1.39
-1.8,5.8,1.4
-1.75,5.78,1.4
-1.71,5.75,1.34
-1.66,5.73,1.38
-1.53,5.66,1.45
-1.52,5.7,1.45
-1.49,5.72,1.4
-1.48,5.71,1.48
-1.45,5.71,1.44
-1.43,5.71,1.46
-1.37,5.7,1.41
-1.29,5.67,1.41
-1.26,5.67,1.49
-1.13,5.59,1.42
-1.09,5.56,1.37
-1.04,5.54,1.33
-0.96,5.48,1.36
-0.96,5.5,1.33
-0.83,5.42,1.38
-0.96,5.54,1.46
-1.08,5.62,1.45
-1.12,5.69,1.5
-1.17,5.73,1.55
-1.19,5.73,1.59
-1.2,5.73,1.53
-1.21,5.74,1.5
-1.23,5.73,1.49
-1.21,5.69,1.44
-1.24,5.69,1.48
-1.22,5.67,1.42
-1.21,5.66,1.37
-1.2,5.65,1.33
-1.22,5.64,1.33
-1.22,5.65,1.34
-1.27,5.69,1.31
-1.3,5.68,1.34
-1.28,5.68,1.36
-1.27,5.65,1.35
-1.28,5.64,1.32
-1.27,5.65,1.28
-1.28,5.64,1.32
-1.27,5.6,1.29
-1.27,5.57,1.3
-1.31,5.53,1.31
-1.24,5.45,1.29
-1.25,5.43,1.27
-1.27,5.41,1.25
-1.28,5.37,1.32
-1.28,5.32,1.45
-1.23,5.23,1.54
-1.3,5.21,1.48
-1.33,5.18,1.42
-1.32,5.12,1.4
-1.33,5.08,1.43
-1.34,5.04,1.5
-1.34,5.02,1.5
-1.37,4.96,1.49
-1.4,4.86,1.46
-1.4,4.79,1.49
-1.36,4.7,1.46
-1.35,4.64,1.41
-1.38,4.57,1.47
-1.42,4.52,1.46
-1.44,4.47,1.49
-1.46,4.45,1.52
-1.47,4.39,1.48
-1.49,4.32,1.4
-1.48,4.28,1.38
-1.47,4.21,1.45
-1.46,4.16,1.44
-1.46,4.12,1.41
-1.46,4.05,1.39
-1.44,4.04,1.36
-1.48,4,1.39
-1.5,3.97,1.38
-1.52,3.94,1.41
-1.54,3.9,1.5
-1.55,3.88,1.39
-1.54,3.85,1.45
-1.54,3.8,1.43
-1.53,3.78,1.34
-1.53,3.74,1.39
-1.53,3.71,1.33
-1.51,3.67,1.38
-1.5,3.64,1.3
-1.49,3.62,1.32
-1.53,3.57,1.28
-1.53,3.55,1.27
-1.54,3.52,1.25
-1.58,3.49,1.38
-1.62,3.44,1.34
-1.63,3.41,1.39
-1.65,3.39,1.41
-1.67,3.39,1.44
-1.67,3.37,1.42
-1.67,3.35,1.41
-1.68,3.33,1.38
-1.68,3.32,1.43
-1.69,3.31,1.34
-1.69,3.28,1.38
-1.68,3.27,1.5
-1.68,3.26,1.53
-1.69,3.26,1.4
-1.69,3.25,1.34
-1.71,3.24,1.25
-1.74,3.22,1.19
-1.75,3.22,1.2
-1.76,3.23,1.25
-1.78,3.24,1.25
-1.84,3.26,1.19
-1.86,3.29,1.19
-1.88,3.31,1.21
-1.9,3.34,1.2
-1.91,3.35,1.24
-1.94,3.38,1.26
-1.95,3.35,1.25
-1.97,3.37,1.28
-1.94,3.35,1.37
-1.92,3.33,1.45
-1.91,3.34,1.47
-1.91,3.34,1.51
-1.94,3.33,1.51
-2.09,3.44,1.43
-2.08,3.42,1.37
-2.09,3.4,1.3
-2.23,3.5,1.36
-2.22,3.46,1.3
-2.27,3.48,1.34
-2.29,3.46,1.32
-2.3,3.44,1.34
-2.32,3.42,1.31
-2.33,3.41,1.33
-2.35,3.4,1.39
-2.39,3.41,1.39
-2.41,3.42,1.41
-2.48,3.49,1.36
-2.53,3.53,1.36
-2.61,3.58,1.3
-2.57,3.55,1.26
-2.56,3.53,1.32
-2.57,3.52,1.36
-2.58,3.51,1.41
-2.58,3.5,1.38
-2.59,3.5,1.41
-2.59,3.51,1.46
-2.63,3.52,1.47
-2.64,3.52,1.37
-2.67,3.52,1.31
-2.76,3.6,1.28
-2.74,3.6,1.36
-2.74,3.6,1.29
-2.72,3.61,1.36
-2.7,3.61,1.34
-2.68,3.62,1.29
-2.67,3.63,1.3
-2.65,3.64,1.29
-2.66,3.66,1.26
-2.64,3.67,1.23
-2.64,3.68,1.2
-2.63,3.69,1.2
-2.6,3.7,1.19
-2.62,3.74,1.23
-2.64,3.77,1.35
-2.67,3.79,1.3
-2.67,3.82,1.3
-2.66,3.87,1.23
-2.65,3.91,1.27
-2.67,3.98,1.34
-2.71,4.05,1.29
-2.71,4.09,1.24
-2.72,4.15,1.3
-2.69,4.2,1.3
-2.69,4.25,1.32
-2.71,4.29,1.33
-2.7,4.33,1.3
-2.67,4.36,1.29
-2.66,4.4,1.26
-2.7,4.48,1.27
-2.67,4.53,1.31
-2.67,4.56,1.34
-2.65,4.57,1.39
-2.64,4.61,1.33
-2.63,4.65,1.41
-2.62,4.69,1.4
-2.6,4.73,1.38
-2.61,4.76,1.36
-2.63,4.77,1.32
-2.61,4.82,1.41
-2.65,4.87,1.35
-2.64,4.88,1.34
-2.65,4.9,1.35
-2.64,4.91,1.37
-2.65,4.93,1.4
-2.65,4.97,1.49
-2.66,5,1.5
-2.67,5.04,1.49
-2.68,5.08,1.52
-2.69,5.1,1.41
-2.7,5.17,1.35
-2.73,5.26,1.32
-2.72,5.3,1.29
-2.72,5.33,1.28
-2.71,5.36,1.28
-2.73,5.43,1.31
-2.71,5.46,1.35
-2.7,5.51,1.34
-2.7,5.56,1.34
-2.68,5.62,1.35
-2.69,5.72,1.32
-2.68,5.76,1.34
-2.68,5.8,1.32
-2.66,5.85,1.29
-2.66,5.88,1.32
-2.67,5.9,1.32
-2.67,5.92,1.36
-2.69,5.96,1.34
-2.69,5.98,1.35
-2.7,6,1.33
-2.7,6.01,1.33
-2.64,6.05,1.4
-2.65,6.03,1.36
-2.65,5.98,1.44
-2.67,5.94,1.42
-2.66,5.93,1.46
-2.66,5.92,1.5
-2.67,5.93,1.44
-2.67,5.95,1.37
-2.67,5.97,1.34
-2.66,5.98,1.29
-2.66,5.99,1.26
-2.66,5.99,1.35
-2.73,6.07,1.32
-2.75,6.1,1.42
-2.79,6.18,1.37
-2.74,6.25,1.4
-2.71,6.23,1.35
-2.68,6.3,1.37
-2.66,6.4,1.4
-2.64,6.43,1.39
-2.62,6.39,1.41
-2.55,6.39,1.37
-2.5,6.37,1.36
-2.45,6.38,1.36
-2.49,6.3,1.31
-2.5,6.28,1.3
-2.53,6.32,1.39
-2.51,6.23,1.37
-2.47,6.24,1.45
-2.41,6.25,1.38
-2.4,6.18,1.38
-2.37,6.15,1.35
-2.35,6.12,1.3
-2.37,6.14,1.35
-2.32,6.1,1.43
-2.27,6.1,1.44
-2.25,6.06,1.4
-2.16,6.09,1.35
-2.14,6.04,1.39
-2.12,6.03,1.4
-2.1,6.04,1.4
-2.06,6.02,1.42
-2.05,6.02,1.4
-2.02,6.04,1.43
-1.94,5.99,1.42
-1.9,5.98,1.41
-1.9,6.03,1.5
-1.85,6.03,1.42
-1.82,6.01,1.46
-1.78,6,1.55
-1.75,5.97,1.53
-1.68,5.97,1.55
-1.66,5.96,1.55
-1.66,5.97,1.48
-1.62,5.95,1.44
-1.55,5.94,1.41
-1.51,5.9,1.4
-1.47,5.9,1.43
-1.44,5.91,1.42
-1.41,5.89,1.49
-1.37,5.86,1.47
-1.34,5.86,1.51
-1.3,5.83,1.51
-1.28,5.84,1.43
-1.21,5.9,1.38
-1.22,5.86,1.43
-1.21,5.85,1.48
-1.13,5.82,1.41
-1.09,5.81,1.37
-1.05,5.8,1.32
-1.04,5.81,1.32
-1.09,5.77,1.28
-1.05,5.73,1.27
-1.09,5.67,1.34
-1.08,5.63,1.33
-1.08,5.56,1.29
-1.11,5.5,1.26
-1.1,5.49,1.25
-1.11,5.46,1.3
-1.06,5.48,1.23
-1.07,5.43,1.35
-1.06,5.39,1.41
-1.02,5.34,1.45
-0.97,5.29,1.4
-0.93,5.25,1.34
-0.91,5.22,1.34
-0.89,5.19,1.32
-0.85,5.17,1.33
-0.82,5.14,1.31
-0.8,5.08,1.35
-0.73,5.11,1.27
-0.75,5.09,1.3
-0.8,5.07,1.27
-0.81,4.98,1.28
-0.8,4.9,1.25
-0.81,4.86,1.24
-0.84,4.81,1.2
-0.87,4.76,1.22
-0.91,4.71,1.31
-0.94,4.66,1.34
-0.93,4.64,1.32
-0.92,4.6,1.37
-0.92,4.53,1.36
-0.9,4.46,1.36
-0.89,4.42,1.27
-0.9,4.37,1.22
-0.93,4.3,1.23
-0.92,4.27,1.18
-0.92,4.24,1.17
-0.93,4.21,1.17
-0.94,4.17,1.17
-0.95,4.13,1.19
-0.94,4.09,1.2
-0.94,4.05,1.19
-0.97,4,1.17
-0.97,3.92,1.17
-0.98,3.87,1.32
-0.98,3.83,1.36
-0.99,3.79,1.32
-0.98,3.76,1.26
-0.98,3.72,1.33
-0.98,3.68,1.26
-0.97,3.67,1.28
-0.95,3.67,1.3
-0.94,3.68,1.33
-0.88,3.72,1.25
-0.83,3.76,1.22
-0.81,3.79,1.15
-0.83,3.78,1.13
-0.89,3.78,1.18
-0.93,3.79,1.17
-1.01,3.76,1.19
-0.97,3.79,1.14
-1.01,3.74,1
-1.04,3.77,1.04
-1.1,3.84,1.06
-1.12,3.81,1.11
-1.16,3.82,1.15
-1.2,3.8,1.16
-1.13,3.82,1.1
-1.19,3.8,1.13
-1.23,3.81,1.21
-1.26,3.82,1.24
-1.31,3.81,1.23
-1.32,3.78,1.19
-1.31,3.74,1.2
-1.36,3.75,1.16
-1.37,3.73,1.21
-1.39,3.73,1.2
-1.39,3.72,1.19
-1.41,3.72,1.24
-1.38,3.71,1.2
-1.39,3.72,1.33
-1.41,3.75,1.38
-1.41,3.78,1.39
-1.42,3.81,1.42
-1.42,3.83,1.36
-1.4,3.83,1.29
-1.42,3.88,1.35
-1.43,3.91,1.29
-1.45,3.93,1.33
-1.43,3.93,1.38
-1.42,3.93,1.38
-1.4,3.92,1.43
-1.36,3.9,1.36
-1.36,3.88,1.37
-1.34,3.86,1.45
-1.32,3.85,1.37
-1.32,3.84,1.37
-1.33,3.83,1.46
-1.32,3.82,1.49
-1.32,3.81,1.39
-1.33,3.82,1.46
-1.34,3.82,1.37
-1.34,3.84,1.39
-1.36,3.82,1.46
-1.37,3.81,1.37
-1.39,3.8,1.45
-1.39,3.79,1.35
-1.43,3.81,1.29
-1.43,3.82,1.28
-1.47,3.82,1.33
-1.46,3.82,1.33
-1.52,3.81,1.36
-1.58,3.8,1.31
-1.61,3.79,1.33
-1.65,3.77,1.29
-1.7,3.76,1.34
-1.74,3.73,1.3
-1.78,3.71,1.24
-1.81,3.7,1.33
-1.83,3.68,1.28
-1.86,3.67,1.37
-1.98,3.73,1.3
-2.05,3.74,1.32
-2.1,3.75,1.26
-2.14,3.75,1.24
-2.15,3.74,1.26
-2.19,3.75,1.28
-2.21,3.72,1.26
-2.25,3.7,1.27
-2.29,3.7,1.4
-2.32,3.71,1.45
-2.36,3.72,1.36
-2.4,3.72,1.3
-2.44,3.73,1.35
-2.47,3.72,1.44
-2.52,3.72,1.39
-2.55,3.74,1.39
-2.59,3.75,1.36
-2.61,3.76,1.34
-2.61,3.75,1.4
-2.62,3.76,1.46
-2.66,3.75,1.42
-2.71,3.77,1.39
-2.75,3.77,1.31
-2.77,3.74,1.26
-2.75,3.76,1.31
-2.82,3.8,1.28
-2.81,3.8,1.29
-2.81,3.81,1.33
-2.79,3.83,1.32
-2.81,3.82,1.34
-2.78,3.82,1.41
-2.81,3.82,1.4
-2.81,3.82,1.36
-2.82,3.82,1.3
-2.84,3.83,1.33
-2.83,3.84,1.27
-2.83,3.84,1.3
-2.8,3.87,1.37
-2.84,3.92,1.31
-2.85,3.97,1.35
-2.86,4.03,1.35
-2.85,4.08,1.36
-2.83,4.13,1.42
-2.76,4.15,1.33
-2.71,4.16,1.39
-2.68,4.21,1.34
-2.67,4.23,1.29
-2.65,4.28,1.3
-2.66,4.31,1.27
-2.66,4.38,1.25
-2.66,4.46,1.2
-2.67,4.55,1.24
-2.67,4.63,1.31
-2.65,4.66,1.28
-2.68,4.74,1.24
-2.66,4.78,1.21
-2.64,4.81,1.19
-2.63,4.87,1.19
-2.61,4.92,1.19
-2.58,4.95,1.21
-2.56,5,1.21
-2.56,5.06,1.23
-2.56,5.12,1.23
-2.56,5.17,1.25
-2.58,5.23,1.33
-2.54,5.28,1.37
-2.55,5.32,1.45
-2.6,5.39,1.46
-2.6,5.46,1.43
-2.63,5.53,1.45
-2.62,5.58,1.4
-2.62,5.64,1.42
-2.59,5.7,1.41
-2.56,5.7,1.47
-2.53,5.73,1.4
-2.51,5.75,1.36
-2.49,5.78,1.4
-2.47,5.8,1.39
-2.46,5.82,1.35
-2.47,5.86,1.34
-2.46,5.89,1.3
-2.42,5.94,1.3
-2.37,6,1.31
-2.39,6,1.29
-2.41,5.99,1.42
-2.41,6.02,1.44
-2.42,6.02,1.4
-2.4,6.03,1.4
-2.41,6.04,1.38
-2.4,6.01,1.33
-2.4,5.99,1.46
-2.41,6.01,1.39
-2.36,6.02,1.47
-2.37,5.98,1.48
-2.41,5.99,1.42
-2.43,6,1.44
-2.42,5.98,1.39
-2.42,5.97,1.42
-2.37,5.91,1.47
-2.32,5.87,1.45
-2.33,5.87,1.46
-2.29,5.85,1.55
-2.26,5.84,1.53
-2.23,5.84,1.52
-2.23,5.87,1.54
-2.16,5.87,1.53
-2.12,5.88,1.45
-2.09,5.86,1.41
-2.04,5.86,1.36
-2.01,5.87,1.32
-1.97,5.85,1.28
-1.92,5.83,1.27
-1.89,5.84,1.31
-1.87,5.87,1.29
-1.86,5.9,1.28
-1.78,5.96,1.25
-1.75,5.93,1.31
-1.66,5.92,1.35
-1.61,5.92,1.33
-1.58,5.93,1.28
-1.57,5.91,1.32
-1.54,5.88,1.34
-1.44,5.89,1.3
-1.4,5.87,1.28
-1.36,5.9,1.34
-1.31,5.91,1.33
-1.28,5.91,1.33
-1.27,5.89,1.35
-1.26,5.89,1.39
-1.26,5.87,1.42
-1.21,5.92,1.38
-1.22,5.89,1.4
-1.22,5.87,1.36
-1.15,5.94,1.33
-1.16,5.9,1.41
-1.16,5.87,1.44
-1.16,5.84,1.45
-1.18,5.82,1.37
-1.17,5.78,1.32
-1.16,5.76,1.34
-1.17,5.7,1.33
-1.1,5.64,1.26
-1.05,5.6,1.27
-1.03,5.58,1.3
-0.97,5.6,1.3
-0.98,5.58,1.26
-0.99,5.56,1.28
-1,5.56,1.25
-1.01,5.56,1.22
-0.99,5.57,1.21
-0.98,5.57,1.2
-0.99,5.56,1.18
-0.91,5.59,1.24
-0.86,5.61,1.31
-0.81,5.59,1.35
-0.79,5.58,1.33
-0.77,5.54,1.32
-0.71,5.54,1.31
-0.67,5.51,1.33
-0.75,5.54,1.34
-0.81,5.57,1.39
-0.82,5.58,1.45
-0.83,5.59,1.39
-0.84,5.6,1.37
-0.84,5.59,1.38
-0.83,5.57,1.45
-0.89,5.59,1.42
-0.95,5.61,1.38
-0.93,5.56,1.39
-0.93,5.51,1.44
-0.89,5.42,1.38
-0.85,5.32,1.43
-0.83,5.22,1.37
-0.88,5.19,1.35
-0.93,5.14,1.43
-0.98,5.1,1.43
-0.99,5.09,1.33
-1.07,5.02,1.32
-1.08,4.98,1.38
-1.14,4.95,1.31
-1.22,4.89,1.27
-1.24,4.87,1.21
-1.28,4.8,1.36
-1.29,4.75,1.38
-1.29,4.7,1.31
-1.29,4.62,1.36
-1.29,4.56,1.35
-1.3,4.49,1.38
-1.32,4.43,1.44
-1.31,4.39,1.41
-1.33,4.34,1.34
-1.36,4.26,1.31
-1.34,4.22,1.35
-1.37,4.18,1.35
-1.37,4.13,1.28
-1.4,4.07,1.28
-1.42,4,1.31
-1.42,3.96,1.24
-1.41,3.92,1.21
-1.46,3.87,1.27
-1.46,3.84,1.24
-1.46,3.79,1.28
-1.46,3.74,1.21
-1.46,3.71,1.23
-1.43,3.66,1.19
-1.41,3.61,1.22
-1.41,3.57,1.28
-1.43,3.52,1.36
-1.41,3.47,1.37
-1.4,3.44,1.38
-1.42,3.41,1.34
-1.4,3.4,1.34
-1.36,3.39,1.25
-1.38,3.36,1.23
-1.39,3.33,1.23
-1.35,3.33,1.3
-1.35,3.3,1.37
-1.35,3.29,1.3
-1.35,3.28,1.22
-1.36,3.28,1.2
-1.38,3.28,1.19
-1.4,3.28,1.18
-1.39,3.26,1.27
-1.4,3.24,1.29
-1.41,3.22,1.35
-1.41,3.21,1.27
-1.39,3.2,1.35
-1.4,3.21,1.44
-1.4,3.21,1.41
-1.39,3.2,1.38
-1.38,3.21,1.39
-1.37,3.2,1.38
-1.37,3.19,1.35
-1.37,3.19,1.33
-1.38,3.19,1.31
-1.39,3.19,1.25
-1.4,3.2,1.23
-1.41,3.2,1.2
-1.45,3.23,1.27
-1.5,3.28,1.23
-1.51,3.28,1.2
-1.52,3.28,1.19
-1.55,3.32,1.25
-1.6,3.35,1.25
-1.62,3.36,1.23
-1.64,3.35,1.21
-1.65,3.36,1.24
-1.65,3.37,1.32
-1.64,3.35,1.34
-1.68,3.35,1.35
-1.73,3.36,1.36
-1.86,3.44,1.29
-1.9,3.44,1.24
-1.89,3.41,1.22
-1.9,3.39,1.31
-1.9,3.38,1.34
-1.92,3.37,1.37
-1.96,3.39,1.38
-1.98,3.39,1.44
-2.01,3.4,1.43
-2.04,3.39,1.38
-2.07,3.39,1.39
-2.11,3.4,1.32
-2.13,3.4,1.34
-2.18,3.4,1.29
-2.24,3.43,1.32
-2.27,3.42,1.38
-2.35,3.44,1.32
-2.41,3.45,1.27
-2.45,3.49,1.26
-2.47,3.48,1.33
-2.5,3.47,1.27
-2.51,3.46,1.34
-2.54,3.45,1.35
-2.56,3.45,1.28
-2.59,3.44,1.25
-2.73,3.53,1.24
-2.77,3.56,1.3
-2.78,3.56,1.3
-2.77,3.56,1.35
-2.75,3.56,1.4
-2.76,3.55,1.49
-2.76,3.55,1.43
-2.77,3.57,1.37
-2.9,3.67,1.31
-2.92,3.69,1.27
-2.88,3.69,1.36
-2.88,3.71,1.34
-2.85,3.69,1.36
-2.82,3.68,1.37
-2.76,3.67,1.45
-2.75,3.65,1.41
-2.72,3.64,1.36
-2.7,3.65,1.43
-2.74,3.69,1.36
-2.79,3.75,1.32
-2.75,3.74,1.37
-2.72,3.75,1.4
-2.72,3.76,1.37
-2.76,3.83,1.31
-2.74,3.86,1.31
-2.77,3.92,1.26
-2.77,3.94,1.28
-2.77,3.98,1.25
-2.74,4.01,1.27
-2.7,4.05,1.25
-2.68,4.1,1.3
-2.64,4.12,1.4
-2.62,4.16,1.49
-2.61,4.21,1.42
-2.6,4.27,1.44
-2.61,4.36,1.35
-2.59,4.4,1.37
-2.55,4.43,1.4
-2.57,4.5,1.44
-2.56,4.55,1.44
-2.55,4.61,1.36
-2.55,4.66,1.38
-2.57,4.71,1.35
-2.57,4.75,1.3
-2.57,4.78,1.29
-2.61,4.85,1.31
-2.61,4.88,1.29
-2.6,4.91,1.25
-2.6,4.95,1.23
-2.6,4.99,1.22
-2.59,5.02,1.22
-2.59,5.06,1.21
-2.6,5.1,1.24
-2.61,5.15,1.23
-2.6,5.2,1.24
-2.6,5.24,1.38
-2.61,5.28,1.34
-2.62,5.33,1.33
-2.62,5.37,1.35
-2.6,5.39,1.34
-2.59,5.43,1.37
-2.58,5.45,1.41
-2.62,5.54,1.39
-2.65,5.61,1.33
-2.65,5.66,1.32
-2.61,5.68,1.41
-2.58,5.72,1.38
-2.56,5.76,1.39
-2.56,5.77,1.46
-2.51,5.83,1.45
-2.52,5.87,1.42
-2.5,5.92,1.36
-2.49,5.94,1.36
-2.49,5.95,1.32
-2.51,5.97,1.37
-2.51,5.99,1.35
-2.51,6,1.35
-2.5,6,1.36
-2.49,5.99,1.33
-2.47,6,1.31
-2.46,5.98,1.38
-2.42,5.98,1.36
-2.41,5.96,1.32
-2.4,5.97,1.32
-2.34,5.96,1.33
-2.31,5.96,1.37
-2.29,5.95,1.34
-2.32,5.98,1.39
-2.32,5.99,1.38
-2.32,6.02,1.33
-2.28,5.99,1.37
-2.16,5.96,1.42
-2.08,6.01,1.44
-2.06,5.97,1.43
-2.04,5.98,1.4
-1.99,5.95,1.43
-1.91,5.89,1.41
-1.96,5.99,1.41
-1.98,6.04,1.45
-1.94,6.03,1.41
-1.87,5.97,1.44
-1.8,5.93,1.44
-1.7,5.97,1.35
-1.63,5.96,1.35
-1.57,5.94,1.38
-1.55,5.92,1.37
-1.53,5.89,1.36
-1.43,5.88,1.33
-1.41,5.8,1.39
-1.38,5.77,1.47
-1.34,5.73,1.42
-1.3,5.69,1.4
-1.27,5.69,1.41
-1.3,5.7,1.35
-1.24,5.68,1.32
-1.23,5.69,1.29
-1.21,5.7,1.29
-1.12,5.65,1.31
-1.16,5.71,1.28
-1.05,5.66,1.34
-1.02,5.67,1.35
-0.95,5.75,1.31
-0.95,5.77,1.3
-0.94,5.78,1.29
-0.93,5.79,1.29
-0.93,5.79,1.3
-0.92,5.81,1.32
-0.9,5.82,1.34
